Vicinity,Tributary/Collection Location,Species,Count,Mean,Median
Independence Valley,Warm Springs,isolatus,20,2739801.3,2115940.5
Newark Valley,Cold Creek Reservoir,newarkensis,24,808330.0416666666,794937
Newark Valley,NF6,newarkensis,10,2786953.3,2536188
Newark Valley,NN3_Mid,newarkensis,3,1487142,1435352
Newark Valley,NN3_North,newarkensis,21,2102325.476190476,1948272
Newark Valley,NN4,newarkensis,23,2966943.217391304,2917312
Newark Valley,NV1,newarkensis,23,1996782.8260869565,1742531
Newark Valley,NV12,newarkensis,25,4926659.8,5185390
Newark Valley,NV16,newarkensis,19,2593594.947368421,2236290
Newark Valley,NV17,newarkensis,25,3051772,2251352
Newark Valley,NV18,newarkensis,24,3416055.416666667,2972096.5
Newark Valley,NV19,newarkensis,25,2703885.48,2238912
Newark Valley,NV2,newarkensis,20,5274821.1,4544087
Newark Valley,NV5,newarkensis,25,2044280.96,1610207
Newark Valley,NV6,newarkensis,22,1764912.6363636362,1522567
Newark Valley,NV7,newarkensis,12,1601585.4166666667,1444953
Newark Valley,NV9,newarkensis,20,2099726.1,1673472
