Lane	Plate	Direction	File
lane-1	plate-1	R1	PLATE_1_S1_L006_R1_001.fastq.gz
lane-1	plate-1	R2	PLATE_1_S1_L006_R2_001.fastq.gz
lane-1	plate-2	R1	PLATE_2_S2_L006_R1_001.fastq.gz
lane-1	plate-2	R2	PLATE_2_S2_L006_R2_001.fastq.gz
lane-1	plate-3	R1	PLATE_3_S3_L006_R1_001.fastq.gz
lane-1	plate-3	R2	PLATE_3_S3_L006_R2_001.fastq.gz
lane-1	plate-4	R1	PLATE_4_S4_L006_R1_001.fastq.gz
lane-1	plate-4	R2	PLATE_4_S4_L006_R2_001.fastq.gz
lane-1	plate-5	R1	PLATE_5_S5_L006_R1_001.fastq.gz
lane-1	plate-5	R2	PLATE_5_S5_L006_R2_001.fastq.gz
lane-1	plate-6	R1	PLATE_6_S6_L006_R1_001.fastq.gz
lane-1	plate-6	R2	PLATE_6_S6_L006_R2_001.fastq.gz
lane-1	plate-7	R1	PLATE_7_S7_L006_R1_001.fastq.gz
lane-1	plate-7	R2	PLATE_7_S7_L006_R2_001.fastq.gz
lane-1	plate-8	R1	PLATE_8_S8_L006_R1_001.fastq.gz
lane-1	plate-8	R2	PLATE_8_S8_L006_R2_001.fastq.gz
lane-1	plate-9	R1	PLATE_9_S9_L006_R1_001.fastq.gz
lane-1	plate-9	R2	PLATE_9_S9_L006_R2_001.fastq.gz
lane-1	plate-10	R1	PLATE_10_S10_L006_R1_001.fastq.gz
lane-1	plate-10	R2	PLATE_10_S10_L006_R2_001.fastq.gz
lane-1	plate-11	R1	PLATE_11_S11_L006_R1_001.fastq.gz
lane-1	plate-11	R2	PLATE_11_S11_L006_R2_001.fastq.gz
lane-1	plate-12	R1	PLATE_12_S12_L006_R1_001.fastq.gz
lane-1	plate-12	R2	PLATE_12_S12_L006_R2_001.fastq.gz
lane-1	plate-13	R1	PLATE_13_S13_L006_R1_001.fastq.gz
lane-1	plate-13	R2	PLATE_13_S13_L006_R2_001.fastq.gz
lane-1	plate-14	R1	PLATE_14_S14_L006_R1_001.fastq.gz
lane-1	plate-14	R2	PLATE_14_S14_L006_R2_001.fastq.gz
lane-1	plate-15	R1	PLATE_15_S15_L006_R1_001.fastq.gz
lane-1	plate-15	R2	PLATE_15_S15_L006_R2_001.fastq.gz
lane-2	plate-1	R1	PLATE_1_S1_L007_R1_001.fastq.gz
lane-2	plate-1	R2	PLATE_1_S1_L007_R2_001.fastq.gz
lane-2	plate-2	R1	PLATE_2_S2_L007_R1_001.fastq.gz
lane-2	plate-2	R2	PLATE_2_S2_L007_R2_001.fastq.gz
lane-2	plate-3	R1	PLATE_3_S3_L007_R1_001.fastq.gz
lane-2	plate-3	R2	PLATE_3_S3_L007_R2_001.fastq.gz
lane-2	plate-4	R1	PLATE_4_S4_L007_R1_001.fastq.gz
lane-2	plate-4	R2	PLATE_4_S4_L007_R2_001.fastq.gz
lane-2	plate-5	R1	PLATE_5_S5_L007_R1_001.fastq.gz
lane-2	plate-5	R2	PLATE_5_S5_L007_R2_001.fastq.gz
lane-2	plate-6	R1	PLATE_6_S6_L007_R1_001.fastq.gz
lane-2	plate-6	R2	PLATE_6_S6_L007_R2_001.fastq.gz
lane-2	plate-7	R1	PLATE_7_S7_L007_R1_001.fastq.gz
lane-2	plate-7	R2	PLATE_7_S7_L007_R2_001.fastq.gz
lane-2	plate-8	R1	PLATE_8_S8_L007_R1_001.fastq.gz
lane-2	plate-8	R2	PLATE_8_S8_L007_R2_001.fastq.gz
lane-2	plate-9	R1	PLATE_9_S9_L007_R1_001.fastq.gz
lane-2	plate-9	R2	PLATE_9_S9_L007_R2_001.fastq.gz
lane-2	plate-10	R1	PLATE_10_S10_L007_R1_001.fastq.gz
lane-2	plate-10	R2	PLATE_10_S10_L007_R2_001.fastq.gz
lane-2	plate-11	R1	PLATE_11_S11_L007_R1_001.fastq.gz
lane-2	plate-11	R2	PLATE_11_S11_L007_R2_001.fastq.gz
lane-2	plate-12	R1	PLATE_12_S12_L007_R1_001.fastq.gz
lane-2	plate-12	R2	PLATE_12_S12_L007_R2_001.fastq.gz
lane-2	plate-13	R1	PLATE_13_S13_L007_R1_001.fastq.gz
lane-2	plate-13	R2	PLATE_13_S13_L007_R2_001.fastq.gz
lane-2	plate-14	R1	PLATE_14_S14_L007_R1_001.fastq.gz
lane-2	plate-14	R2	PLATE_14_S14_L007_R2_001.fastq.gz
lane-2	plate-15	R1	PLATE_15_S15_L007_R1_001.fastq.gz
lane-2	plate-15	R2	PLATE_15_S15_L007_R2_001.fastq.gz
